species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Gentoo,Biscoe,57.36814268,21.26061492,200,4219,male
Adelie,Dream,43.84691368,14.23813718,189,3785,female
Gentoo,Biscoe,45.08195601,13.9373579,190,5018,female
Adelie,Biscoe,41.40370319,15.28198095,182,2679,female
Adelie,Dream,35.84062533,19.47304385,170,3762,female
Chinstrap,Dream,46.31380737,19.69668426,198,3544,female
Gentoo,Biscoe,43.6608117,18.85919642,260,7375,male
Gentoo,Biscoe,46.68978778,12.07741131,215,4887,male
Gentoo,Biscoe,56.48790809,14.05831289,213,5832,female
Gentoo,Biscoe,28.06175996,22.02961706,239,6286,female
Gentoo,Biscoe,49.10942452,14.4915596,221,6591,male
Adelie,Biscoe,28.68935324,15.39496768,162,2851,male
Adelie,Dream,34.96562508,18.92416158,176,2217,male
Adelie,Biscoe,46.9355185,14.33511761,210,4992,male
Adelie,Dream,34.87354501,18.08810524,200,3659,female
Adelie,Biscoe,40.53546513,19.08852488,188,3998,male
Chinstrap,Dream,51.04608069,16.49343758,231,2834,male
Adelie,Torgersen,27.00635437,15.89159592,163,2671,female
Adelie,Torgersen,45.02924274,20.44909911,209,4240,male
Adelie,Biscoe,48.00045775,23.45342977,160,3991,male
Gentoo,Biscoe,54.14354076,12.28893377,218,4277,male
Chinstrap,Dream,53.15676166,16.59483085,195,2619,male
Chinstrap,Dream,51.41451293,14.13643134,190,4131,male
Adelie,Torgersen,45.34618429,14.46585603,198,2985,female
Adelie,Torgersen,42.54012189,16.48837005,192,2461,male
Chinstrap,Dream,49.23887543,14.81411693,181,3699,male
Gentoo,Biscoe,54.38415188,10.94658065,215,5536,male
Gentoo,Biscoe,51.86065663,14.35913957,243,6634,male
Adelie,Torgersen,32.63596496,24.00458787,180,4852,female
Chinstrap,Dream,51.582306,17.6069165,204,3963,female
Adelie,Dream,41.95722268,18.10775387,208,3366,male
Gentoo,Biscoe,43.69608089,13.79573418,217,3848,male
Adelie,Dream,33.79098102,16.58460688,183,2647,female
Adelie,Dream,52.6926203,20.2378653,202,2117,male
Chinstrap,Dream,54.86465678,17.86881861,196,3603,female
Chinstrap,Dream,39.22255129,19.64551797,172,2642,male
Gentoo,Biscoe,50.83804076,17.09324804,220,5227,female
Gentoo,Biscoe,54.77367929,10.80938663,222,3984,female
Gentoo,Biscoe,46.5544339,16.15339469,233,2452,female
Adelie,Dream,50.08212743,20.61254411,214,3743,female
Gentoo,Biscoe,53.80801334,16.97977966,205,4715,female
Adelie,Torgersen,36.37089076,22.75952615,226,3531,female
Adelie,Biscoe,33.63748608,11.73041159,205,3262,female
Gentoo,Biscoe,50.3579012,10.89782461,239,4612,female
Gentoo,Biscoe,34.55436402,16.91043991,231,4345,male
Adelie,Torgersen,44.18002404,18.43563713,219,3397,male
Gentoo,Biscoe,38.20333609,10,216,6855,male
Chinstrap,Dream,54.38598751,16.67532752,210,5330,male
Adelie,Biscoe,29.22641524,12.53386017,200,3689,female
Adelie,Dream,36.74002763,20.46818663,219,3428,male
Gentoo,Biscoe,53.13495671,16.38655233,219,7574,male
Adelie,Torgersen,41.54996446,12.85093827,179,2953,female
Gentoo,Biscoe,44.21310385,18.69714936,200,4523,male
Adelie,Torgersen,41.88702333,19.96439106,184,5581,male
Gentoo,Biscoe,42.82087476,11.20146879,207,4665,male
Adelie,Biscoe,43.06499666,11.32423249,170,2000,male
Gentoo,Biscoe,45.76250098,12.46220921,230,4566,male
Gentoo,Biscoe,56.90089774,15.75789214,225,6381,female
Gentoo,Biscoe,48.06505569,16.47099768,223,4751,female
Adelie,Torgersen,42.75790124,20.83288874,189,5554,male
Chinstrap,Dream,35.88669362,22.27034138,160,2000,female
Adelie,Biscoe,37.60922564,16.78477024,170,3281,male
Adelie,Torgersen,38.37954139,20.29970831,181,2301,male
Adelie,Biscoe,47.66512992,20.59739776,178,4608,female
Adelie,Biscoe,36.23915845,20.36914061,200,3371,male
Adelie,Biscoe,25,29.98518206,172,2000,female
Gentoo,Biscoe,41.21530651,18.2962912,233,4397,female
Gentoo,Biscoe,39.92329468,15.87500474,226,5412,male
Adelie,Biscoe,35.18740143,19.20170215,164,3662,male
Adelie,Torgersen,35.76483793,17.20933605,213,5469,male
Adelie,Biscoe,39.92315436,21.66615291,175,4306,female
Gentoo,Biscoe,52.0475422,14.60225979,211,6191,male
Gentoo,Biscoe,50.63915186,11.94326346,205,3596,male
Chinstrap,Dream,44.98956398,16.23593461,204,4397,female
Gentoo,Biscoe,54.53308362,10.42990478,187,5829,female
Gentoo,Biscoe,55.66234951,14.42471605,197,4463,male
Gentoo,Biscoe,44.55055953,11.82029516,199,5957,male
Gentoo,Biscoe,41.50611571,12.51492671,208,5631,male
Adelie,Dream,25.73911419,14.56121443,196,4567,female
Adelie,Dream,43.29459323,17.05174034,180,4182,male
Adelie,Biscoe,43.27412577,16.51970858,187,3595,male
Gentoo,Biscoe,55.65219424,11.39802678,232,5343,female
Adelie,Torgersen,41.75381795,19.54458238,210,3250,male
Adelie,Torgersen,49.77051365,20.89334412,173,3319,male
Gentoo,Biscoe,35.89349306,18.71499904,164,6200,female
Adelie,Dream,29.51855094,21.95597641,183,5186,female
Adelie,Biscoe,41.94791712,27.45107936,190,2819,female
Adelie,Dream,51.08856888,37.26417012,186,4742,female
Adelie,Biscoe,51.20579558,33.95441433,174,5113,female
Chinstrap,Dream,52.38292438,38.51177354,181,3250,male
Adelie,Dream,39.45338612,33.41006369,184,2000,female
Adelie,Biscoe,40.90026034,29.79084299,175,5186,female
Adelie,Torgersen,36.9243173,31.59599243,214,2000,male
Gentoo,Biscoe,46.97052762,30.13297094,215,4549,female
Adelie,Dream,37.7185109,31.46349124,177,4334,male
Gentoo,Biscoe,44.73127078,33.68237611,191,4676,female
Adelie,Dream,33.65509302,33.40254221,178,2868,male
Adelie,Biscoe,45.83168645,34.66662849,206,4476,male
Gentoo,Biscoe,48.10518487,19.66662849,189,4917,male
Adelie,Torgersen,36.30449139,22.35501071,220,4165,female
Gentoo,Biscoe,48.39332075,14.16172219,219,4481,female
Adelie,Biscoe,43.4078007,21.78323923,200,2896,male
Adelie,Dream,36.38276694,26.65112272,186,3107,male
Chinstrap,Dream,49.8095466,17.99346276,203,4468,male
Adelie,Torgersen,41.36556452,20,203,2000,male
Chinstrap,Dream,48.42918122,38.89399019,211,4277,male
Chinstrap,Dream,50.15783051,42.37006389,186,4001,male
Gentoo,Biscoe,36.01279575,35.8248408,211,4951,female
Adelie,Dream,41.58903332,37.5448413,205,4141,male
Gentoo,Biscoe,51.1705574,34.25304682,210,5103,female
Gentoo,Biscoe,58.08601243,34.47267626,217,4926,male
Gentoo,Biscoe,49.64989227,35.14327481,205,6100,female
Adelie,Biscoe,27.40224228,35.26403837,207,3550,male
Chinstrap,Dream,42.86951524,38.6691184,160,3335,male
Chinstrap,Dream,53.68018182,40.42669685,182,5149,male
Adelie,Dream,25,42.70142808,188,3045,female
Adelie,Dream,46.8322686,38.06009448,221,3499,female
Adelie,Torgersen,36.61291877,17.62195784,217,3433,female
Chinstrap,Dream,44.87148783,19.61609251,186,4814,male
Chinstrap,Dream,50.42784524,19.84177349,205,3490,male
Chinstrap,Dream,54.20252268,16.40923992,198,4099,male
Gentoo,Biscoe,46.76544246,13.83170212,228,4286,female
Gentoo,Biscoe,51.88349315,11.46483623,219,6226,male
Gentoo,Biscoe,56.86383126,16.37474291,224,4796,male
Gentoo,Biscoe,49.97161283,16.170201,224,4755,male
Chinstrap,Dream,52.71518908,14.9490877,184,3040,male
Gentoo,Biscoe,47.88100002,13.10841525,227,5396,male
Adelie,Biscoe,38.96342431,15.12008986,219,3254,female
Gentoo,Biscoe,48.28310713,14.9064745,241,5342,male
Adelie,Dream,33.1103137,23.17959797,202,4686,male
Gentoo,Biscoe,52.34533822,13.85752417,252,5718,female
Gentoo,Biscoe,50.90143874,17.0431802,234,5735,female
Adelie,Torgersen,31.57922721,16.96606884,174,3818,female
Chinstrap,Dream,49.64160732,10,253,4239,female
Gentoo,Biscoe,55.17314957,13.86653809,260,8000,male
Adelie,Dream,35.03699602,23.26418041,185,5116,female
Adelie,Biscoe,37.31804992,18.59409716,176,2731,male
Adelie,Biscoe,36.25831549,17.76711789,182,2339,male
Adelie,Biscoe,35.03360501,19.95515505,166,4332,female
Adelie,Torgersen,64.8504251,19.39059745,260,5794,female
Adelie,Dream,47.37207673,12.22934663,170,6038,female
Chinstrap,Dream,50.68160852,13.87930886,219,2769,female
Adelie,Torgersen,33.20837623,15.96648716,200,2794,male
Chinstrap,Dream,45.98284805,23.67603269,260,2000,male
Gentoo,Biscoe,41.91429253,11.72874103,206,4037,female
Chinstrap,Dream,50.77289499,19.73381725,175,3256,female
Adelie,Dream,34.71940884,20.65577444,205,4401,female
Adelie,Biscoe,49.21105253,17.18467834,188,4914,male
Gentoo,Biscoe,49.8771308,13.47654644,214,3358,female
Adelie,Dream,27.00718837,24.84917952,216,4953,male
Adelie,Dream,46.40770194,21.22922714,206,2785,female
Gentoo,Biscoe,41.75229346,12.50289857,224,6240,male
Gentoo,Biscoe,59.22921073,14.17289557,210,4999,male
Adelie,Dream,36.54533551,15.14492776,196,2000,male
Adelie,Biscoe,40.62378021,20.53513713,198,4437,female
Chinstrap,Dream,48.46997779,18.33882399,217,5164,female
Adelie,Torgersen,34.46568831,17.76373852,214,4039,male
Gentoo,Biscoe,55.32370147,15.63661732,216,5189,female
Adelie,Dream,37.84735668,23.12899218,211,3753,female
Chinstrap,Dream,55.96827715,23.36673767,160,5005,female
Adelie,Dream,39.78978918,15.79066676,192,5082,male
Gentoo,Biscoe,48.98239042,10.83712038,227,5113,female
Adelie,Dream,34.51262432,27.4879,183,2000,female
Gentoo,Biscoe,46.96297771,14.82652323,201,5671,female
Chinstrap,Dream,44.43770204,17.6537334,210,4159,male
Adelie,Dream,51.86087635,10.73812021,235,3571,male
Adelie,Torgersen,42.17144004,21.24148873,209,3506,female
Gentoo,Biscoe,42.21598783,15.48811303,231,5240,female
Gentoo,Biscoe,54.47413215,17.8216388,214,5292,male
Adelie,Dream,66.77684246,29.1906772,160,8000,female
Gentoo,Biscoe,49.14980709,19.0615759,201,6000,female
Gentoo,Biscoe,43.71812972,15.92950808,210,6225,female
Chinstrap,Dream,40.59312547,17.38842149,191,2693,male
Adelie,Dream,37.56415018,13.5757115,181,4225,female
Gentoo,Biscoe,59.97865012,17.89787578,192,3589,female
Gentoo,Biscoe,41.636102,14.44387277,210,5691,male
Gentoo,Biscoe,55.41919645,15.60783848,200,4640,female
Adelie,Biscoe,45.98423657,18.73596651,199,3651,male
Gentoo,Biscoe,51.19160627,14.33956874,213,6098,male
Gentoo,Biscoe,39.10071298,16.22843914,208,4186,female
Adelie,Biscoe,45.99569238,20.66769072,178,2549,male
Adelie,Biscoe,48.65779841,14.12073672,160,3441,male
Chinstrap,Dream,55.13834336,23.06133841,190,3254,male
Gentoo,Biscoe,55.13249601,14.42703755,235,5108,female
Adelie,Dream,40.77881353,15.27652051,179,2148,female
Gentoo,Biscoe,55.23934663,19.29937603,216,4814,female
Adelie,Torgersen,41.1117096,16.5979262,202,4268,female
Gentoo,Biscoe,50.39832241,14.138752,211,6998,male
Chinstrap,Dream,67.60492465,13.90323227,190,2000,female
Adelie,Biscoe,45.1123504,19.61134763,194,3278,female
Adelie,Torgersen,34.5720374,21.81035015,182,2816,female
Adelie,Torgersen,42.09595766,17.11327872,160,4254,male
Adelie,Torgersen,29.58814142,12.96647882,195,4130,male
Adelie,Biscoe,44.07788007,14.11099101,182,2902,male
Adelie,Dream,35.03358382,19.91415694,202,2000,female
Adelie,Biscoe,35.28279824,19.17994056,160,4429,male
Adelie,Torgersen,43.56163533,14.59806459,255,2000,male
Gentoo,Biscoe,52.73936194,11.67598495,228,3737,male
Adelie,Dream,33.36634855,17.03815294,193,3594,male
Gentoo,Biscoe,49.55584769,12.8660877,231,5978,female
Chinstrap,Dream,43.59372671,20.83094798,215,3733,female
Adelie,Dream,25,16.65850446,221,2000,male
Gentoo,Biscoe,53.29871826,18.58939315,190,5122,male
Gentoo,Biscoe,49.23805096,19.1465513,237,5668,male
Adelie,Torgersen,38.02581365,19.40516282,185,3634,male
Adelie,Dream,33.04039723,18.99460046,185,3387,female
Chinstrap,Dream,51.61978817,15.85682512,194,4151,female
Gentoo,Biscoe,54.62904586,12.82030956,222,7257,male
Chinstrap,Dream,49.61622504,20.47474581,185,2459,male
Adelie,Torgersen,41.85405584,18.22936037,196,3181,male
Gentoo,Biscoe,49.11449457,16.79112078,190,4210,female
Chinstrap,Dream,62.01461043,19.05131233,194,2617,male
Chinstrap,Dream,39.8941985,19.72957651,204,4121,male
Adelie,Torgersen,65.98976819,23.91729842,182,8000,male
Gentoo,Biscoe,51.56856844,17.60136281,183,6177,female
Adelie,Biscoe,32.40344063,19.24815904,171,2720,female
Gentoo,Biscoe,59.88002722,12.07681953,206,4727,female
Adelie,Torgersen,43.50644846,20.64034674,185,3311,female
Adelie,Dream,42.94305108,16.82319134,160,5869,male
Chinstrap,Dream,52.32181781,17.35249561,179,3440,male
Gentoo,Biscoe,25,12.94201094,220,2000,female
Gentoo,Biscoe,38.08506981,15.90601972,205,5612,female
Chinstrap,Dream,47.68941358,15.18543882,195,3444,female
Adelie,Dream,36.12349318,17.17581764,205,4880,male
Adelie,Torgersen,41.49798563,20.50321231,205,4109,female
Adelie,Biscoe,57.43662332,10,160,4228,female
Adelie,Dream,40.33678907,18.70217356,210,5390,female
Adelie,Biscoe,31.82175226,16.03554721,191,2000,female
Gentoo,Biscoe,53.75332735,14.26384244,219,4265,female
Chinstrap,Dream,50.84322366,21.9072302,199,4055,male
Gentoo,Biscoe,58.94654281,13.31257216,229,5193,female
Gentoo,Biscoe,49.60150375,15.39318846,224,5051,male
Adelie,Dream,41.56906722,17.14239424,191,3024,male
Gentoo,Biscoe,46.23206388,15.03257634,235,3217,female
Gentoo,Biscoe,42.59730173,13.88445345,183,3032,female
Gentoo,Biscoe,50.01321101,14.749665,205,7445,female
Chinstrap,Dream,61.44667774,19.85148106,190,4783,female
Gentoo,Biscoe,33.75872565,10.48128495,245,4924,female
Adelie,Dream,42.68789728,18.66702312,164,4345,male
Gentoo,Biscoe,60.17095983,15.80141451,229,6823,male
Gentoo,Biscoe,60.96007302,18.81622182,229,7099,female
Adelie,Dream,45.55609333,19.23349968,197,3856,female
Gentoo,Biscoe,44.90771623,16.06879067,228,4277,female
Chinstrap,Dream,47.38753537,17.16386491,202,4629,male
Adelie,Torgersen,44.87118657,21.56954968,213,3319,female
Gentoo,Biscoe,48.64631058,13.99910741,209,4780,male
Gentoo,Biscoe,52.94330157,14.9518532,219,5448,male
Adelie,Torgersen,38.16872416,13.69968263,160,2000,male
Adelie,Torgersen,41.60484423,22.52484925,182,5349,male
Adelie,Biscoe,29.72890086,10,260,2603,male
Gentoo,Biscoe,25,10.48162498,227,8000,male
Gentoo,Biscoe,56.53661776,19.04082073,225,4995,male
Gentoo,Biscoe,35.45374212,14.37631135,242,5456,female
Adelie,Dream,36.64295216,14.41964583,182,3319,female
Chinstrap,Dream,45.09817712,17.7588407,194,3446,female
Chinstrap,Dream,52.63397798,19.40272352,177,3655,male
Adelie,Torgersen,44.37911902,15.45837373,186,3273,female
Adelie,Dream,28.46627739,23.33692442,195,3998,female
Adelie,Biscoe,38.26107364,21.11288425,260,2000,female
Chinstrap,Dream,46.41652656,17.65080255,192,2022,male
Chinstrap,Dream,48.67327745,17.46305082,169,3369,female
Adelie,Dream,33.39534515,17.49221131,190,3789,female
Adelie,Torgersen,41.58232584,14.90050698,180,3068,female
Adelie,Biscoe,33.91598703,23.11134585,191,3392,male
Gentoo,Biscoe,58.91326234,16.12621966,235,2000,male
Chinstrap,Dream,63.69301092,18.64065071,168,4282,male
Adelie,Torgersen,28.36401477,16.63067401,209,4952,male
Adelie,Biscoe,53.96412468,15.05875299,189,2275,female
Gentoo,Biscoe,55.60842192,15.28146252,217,5309,male
Gentoo,Biscoe,55.78613278,14.2232345,217,5449,female
Gentoo,Biscoe,52.61853371,15.18357426,210,3467,female
Adelie,Dream,37.55554789,18.63931045,204,4185,male
Adelie,Dream,40.17278097,18.34053023,199,2000,female
Adelie,Dream,44.04804811,18.47093388,210,3784,male
Chinstrap,Dream,51.59096599,18.86852935,198,4658,male
Gentoo,Biscoe,51.35136779,11.6994327,212,5248,female
Adelie,Biscoe,38.56385487,21.87088137,189,3725,female
Chinstrap,Dream,56.8965343,19.5553356,192,2776,male
Adelie,Torgersen,47.44074837,16.62289149,173,4181,male
Gentoo,Biscoe,46.93345976,13.60482304,214,4530,male
Adelie,Torgersen,49.03247452,10,160,3950,female
Chinstrap,Dream,39.36858791,21.75822762,202,3238,male
Adelie,Biscoe,37.09541023,16.29759064,200,3301,female
Gentoo,Biscoe,49.14194613,12.75764251,237,3944,female
Gentoo,Biscoe,43.69323274,15.42270818,236,4934,male
Gentoo,Biscoe,50.65580978,19.51798799,195,5756,male
Adelie,Biscoe,36.87384746,17.57514742,209,4371,male
Adelie,Torgersen,31.49736219,20.39042223,194,4983,female
Adelie,Biscoe,39.06990575,21.28274861,197,5946,male
Adelie,Torgersen,41.98359178,19.00970837,182,4226,female
Adelie,Dream,43.46100835,14.06154236,216,3497,female
Adelie,Dream,41.73724216,17.71443566,185,3648,female
Gentoo,Biscoe,58.40417457,15.96954131,215,3310,male
Adelie,Biscoe,44.24332615,17.36391869,205,5081,male
Gentoo,Biscoe,52.03441811,11.35126654,211,4708,female
Adelie,Dream,36.64856414,15.7669712,191,3848,female
Adelie,Dream,40.23370119,19.20960127,193,3892,male
Adelie,Dream,38.21412832,19.4146972,211,2671,female
Gentoo,Biscoe,47.06917375,10.9702089,213,3839,male
Adelie,Biscoe,34.20390795,23.6129495,194,2963,male
Adelie,Dream,41.57200156,22.78538668,188,4714,female
Gentoo,Biscoe,65.21476673,12.07731186,237,6451,female
Adelie,Torgersen,33.4594391,21.29090358,184,3608,female
Chinstrap,Dream,52.06269652,17.96179185,216,3116,female
Chinstrap,Dream,48.21434532,16.91219003,208,4197,female
Adelie,Biscoe,31.2276705,16.14208644,205,2903,male
Gentoo,Biscoe,62.74317184,14.94962349,200,3939,male
Adelie,Torgersen,39.9798952,18.49362516,208,3940,male
Adelie,Dream,38.43544554,19.32957865,205,4560,female
Adelie,Torgersen,25.47217916,10.23973677,242,7677,male
Gentoo,Biscoe,58.6336915,17.99069568,201,8000,male
Chinstrap,Dream,42.92869282,18.79874684,175,3777,female
Adelie,Biscoe,40.40187406,17.7032881,217,2848,male
Gentoo,Biscoe,51.27697135,15.18561955,220,5074,female
Gentoo,Biscoe,52.74450076,14.87136339,200,4352,female
Adelie,Dream,38.75040125,18.9412591,192,3083,female
Chinstrap,Dream,30.62141004,18.47000016,169,2935,female
Gentoo,Biscoe,41.75721584,15.68437705,210,3751,male
Adelie,Dream,41.72295235,19.4880139,204,5581,female
Chinstrap,Dream,49.32151956,18.78291029,191,2965,female
Adelie,Torgersen,40.41566178,19.61528973,193,2742,male
Adelie,Torgersen,32.49026028,18.19897954,183,3150,female
Adelie,Dream,41.4463686,16.56618289,197,3773,male
Chinstrap,Dream,44.71731581,16.61607749,199,4388,male
Adelie,Torgersen,35.80731878,18.53033798,162,2000,female
Chinstrap,Dream,39.37410129,14.57615602,205,3019,female
Gentoo,Biscoe,50.54905186,14.27208273,227,4224,male
Adelie,Dream,29.5778773,14.51967639,187,2907,female
Gentoo,Biscoe,44.53699635,15.4692688,225,6146,female
Gentoo,Biscoe,46.19240258,15.32025902,230,4694,female
Gentoo,Biscoe,46.2303342,13.51431134,199,4428,female
Gentoo,Biscoe,38.77875105,19.44229925,242,6243,female
Gentoo,Biscoe,45.36659855,17.59150808,219,5641,male
Chinstrap,Dream,44.81023638,20.739913,182,3787,male
Adelie,Torgersen,34.64787437,19.59399529,181,3201,female
Chinstrap,Dream,58.1033585,13.09526222,205,4133,male
Adelie,Biscoe,43.69369817,15.11401722,178,4251,female
Gentoo,Biscoe,52.29252725,12.98355283,221,6203,male
Chinstrap,Dream,34.73650681,19.81092956,196,2893,male
Chinstrap,Dream,62.36588116,16.99655308,221,3647,female
Adelie,Dream,39.04339349,19.09123891,198,4715,female
Gentoo,Biscoe,53.98511782,14.28561252,202,3968,male
Chinstrap,Dream,26.46282054,10,219,2000,male
Chinstrap,Dream,47.59727667,17.29089736,260,3475,male
Adelie,Biscoe,36.74704166,17.76085683,179,4397,male
Chinstrap,Dream,40.25025309,18.48756408,171,3124,male
Adelie,Biscoe,52.1878648,19.20999259,171,4429,male
Adelie,Biscoe,47.47174902,20.260338,165,2000,male
Gentoo,Biscoe,45.23163398,15.77946101,207,2910,female
Gentoo,Biscoe,42.54196821,11.95740788,220,4132,female
Adelie,Dream,36.88696243,21.21529511,182,2985,female
Adelie,Torgersen,42.72480063,26.83487437,168,2599,female
Adelie,Torgersen,34.46820664,18.36511702,162,3344,female
Adelie,Torgersen,37.48144301,17.40448659,197,4759,male
Adelie,Dream,46.10561285,28.68281423,179,2000,male
Gentoo,Biscoe,42.39208649,12.81073494,208,4488,male
Gentoo,Biscoe,48.8427447,13.59690537,239,5306,male
Gentoo,Biscoe,54.51527859,15.03556759,209,6700,male
Chinstrap,Dream,57.51503705,20.08984521,197,2742,female
Adelie,Torgersen,38.94942321,20.0878813,189,2960,male
Adelie,Biscoe,46.162473,17.35359222,197,5047,female
Adelie,Biscoe,31.9331318,21.52754591,194,3192,male
Adelie,Torgersen,44.4393456,17.34075703,182,4303,male
Gentoo,Biscoe,53.15517168,13.20841181,204,5302,male
Adelie,Dream,39.79008449,18.82056032,174,2991,female
Adelie,Biscoe,46.56093538,15.78853478,208,4425,female
Gentoo,Biscoe,54.69675811,18.82398568,201,5692,male
Adelie,Biscoe,37.37673601,21.45612905,203,2647,male
Adelie,Biscoe,30.28447372,20.65527924,188,3830,male
Gentoo,Biscoe,25,21.0118652,254,5933,male
Gentoo,Biscoe,48.4168173,13.22397214,205,5513,male
Adelie,Biscoe,48.2158787,16.06545896,181,2649,male
Gentoo,Biscoe,54.35027236,18.06771764,214,5833,female
Adelie,Biscoe,28.89267086,18.70749838,190,2903,male
Adelie,Biscoe,35.5670622,16.77367098,165,3488,female
Gentoo,Biscoe,52.07318833,13.74977198,229,5525,female
Adelie,Torgersen,28.17768257,16.77429743,210,3430,male
Adelie,Torgersen,27.69324345,19.43369957,195,3096,male
Gentoo,Biscoe,45.47185903,15.69839673,214,2485,male
Gentoo,Biscoe,43.88222809,15.82267785,209,5636,female
Adelie,Biscoe,39.50199505,13.85768002,177,4590,male
Gentoo,Biscoe,48.76449161,16.04563572,221,5753,male
Adelie,Biscoe,37.19378872,18.17771819,160,3442,female
Chinstrap,Dream,60.35106752,22.11065694,209,3293,male
Adelie,Dream,37.50611243,19.97360255,174,3093,female
Adelie,Dream,38.54425952,24.61970966,236,2399,female
Adelie,Torgersen,37.88006263,16.74045312,189,4648,male
Chinstrap,Dream,49.90712291,18.72210714,198,4218,female
Adelie,Torgersen,31.01834227,20.49845014,219,3868,male
Gentoo,Biscoe,47.25405968,10,214,5718,male
Chinstrap,Dream,58.27227766,19.82045139,198,2001,male
Chinstrap,Dream,54.47768097,16.23549252,186,4131,female
Adelie,Biscoe,27.28418388,17.61212145,194,3207,female
Gentoo,Biscoe,40.74048033,16.39564663,215,5349,female
Gentoo,Biscoe,54.82130939,17.67995143,223,6509,male
Gentoo,Biscoe,55.40341185,15.5594355,202,4976,female
Adelie,Dream,39.23992709,21.27259966,184,3813,male
Adelie,Biscoe,45.51642504,20.56081248,198,3161,male
Adelie,Biscoe,30.86271565,14.77336374,206,2769,female
Adelie,Dream,41.26251404,14.94938525,193,2646,male
Gentoo,Biscoe,46.47387445,16.09016124,240,4418,female
Adelie,Biscoe,39.22966151,18.18203473,227,2000,female
Adelie,Dream,36.8871914,17.61790425,255,4036,female
Adelie,Dream,36.13969381,19.62436783,218,3862,female
Adelie,Biscoe,29.87858408,15.96517794,196,4235,male
Adelie,Torgersen,38.00524603,17.83596899,202,3794,female
Chinstrap,Dream,42.79169273,19.17234331,170,3956,female
Adelie,Torgersen,40.32773846,20.09533669,178,2824,male
Adelie,Dream,54.8932432,12.2414786,189,3440,male
Gentoo,Biscoe,33.19562652,17.85313146,200,4988,female
Adelie,Torgersen,38.64848032,15.13161811,181,4540,female
Adelie,Biscoe,30.30280045,15.83880177,201,4027,female
Chinstrap,Dream,61.48862599,17.43457759,208,3888,female
Chinstrap,Dream,63.70975233,17.97309234,175,3821,female
Gentoo,Biscoe,48.50127297,10.12013996,260,5448,female
Adelie,Biscoe,34.62356914,15.93106118,207,4296,female
Adelie,Torgersen,31.50586375,10.48095404,178,2000,male
Adelie,Torgersen,35.03142073,13.96256813,191,3582,male
Adelie,Dream,50.02956594,21.96973812,166,4946,male
Adelie,Biscoe,35.09081324,18.18540449,213,4213,male
Adelie,Dream,36.15900913,16.30209041,182,4255,male
Gentoo,Biscoe,46.24957229,12.61606524,216,4617,male
Adelie,Dream,40.94324173,19.76662843,165,2626,female
Adelie,Dream,41.67020191,16.78019114,183,4126,male
Chinstrap,Dream,49.76799825,20.39844157,179,4625,male
Adelie,Torgersen,38.63994737,18.08362568,200,4334,female
Adelie,Dream,44.65341852,18.52280372,197,4000,female
Adelie,Biscoe,45.00546561,15.88443675,202,5009,male
Gentoo,Biscoe,47.46386066,14.29257804,217,3893,male
Gentoo,Biscoe,53.56897295,16.76442562,208,3454,female
Gentoo,Biscoe,51.62216206,12.68463518,208,5301,male
Gentoo,Biscoe,59.72832767,15.22229186,222,3919,male
Adelie,Dream,40.21812936,17.45308043,185,3980,male
Adelie,Biscoe,37.44436649,15.34570835,189,5126,female
Gentoo,Biscoe,46.95019287,15.80304804,220,4159,female
Chinstrap,Dream,56.09199641,20.7979935,210,4451,female
Chinstrap,Dream,56.00792543,15.8894977,195,2097,male
Gentoo,Biscoe,44.69848255,12.32041305,225,4243,male
Gentoo,Biscoe,44.50694413,18.0026852,209,5252,male
Adelie,Torgersen,35.84348597,17.29745145,184,3086,female
Chinstrap,Dream,48.89034812,18.12788387,189,5897,female
Adelie,Biscoe,42.71814927,16.2142201,187,3877,male
Adelie,Biscoe,34.06537274,19.65680926,195,2000,male
Gentoo,Biscoe,45.11496973,15.44977487,195,5939,female
Chinstrap,Dream,41.41471239,17.74787082,234,3179,female
Gentoo,Biscoe,50.78061076,18.50982335,198,3322,female
Gentoo,Biscoe,51.74861788,15.70347768,233,3430,female
Adelie,Biscoe,43.51001366,19.54814165,182,2656,male
Adelie,Torgersen,54.42328889,17.71557076,217,2470,male
Chinstrap,Dream,46.69719052,16.54529736,187,3660,female
Chinstrap,Dream,56.7055384,17.93510345,197,6383,female
Adelie,Biscoe,45.28889629,22.61962255,209,3183,male
Chinstrap,Dream,50.82728056,20.22030882,193,3446,female
Adelie,Torgersen,34.72824566,21.2021744,205,2352,male
Adelie,Dream,33.10756303,13.03247975,163,4081,male
Gentoo,Biscoe,42.4352529,14.24497633,213,3378,female
Adelie,Biscoe,39.48473306,15.60274071,188,4327,male
Adelie,Torgersen,42.21595701,24.15185938,191,5125,male
Adelie,Dream,38.56689757,12.95782287,203,4711,male
Gentoo,Biscoe,39.19610972,13.44491845,248,5961,male
Gentoo,Biscoe,64.15228084,19.58974295,199,4431,female
Chinstrap,Dream,45.72302709,13.7869845,222,4620,male
Chinstrap,Dream,52.85489699,20.48332405,179,3893,male
Adelie,Torgersen,43.38587227,15.28259369,212,2509,female
Adelie,Dream,37.69661419,18.79263605,175,2558,male
Chinstrap,Dream,45.03648904,19.6531693,173,3701,male
Gentoo,Biscoe,52.09197523,10.88589275,221,3676,male
